"RECORD #(ITEM)","CALL #","100|a"
"i192034753","[PB] ROMANCE D","Dixon, Ruby,"
"i192034789","[PB] ROMANCE B","Bateman, Kate,"
"i192034790","[PB] ROMANCE J","Jones, Amelia,"
"i192034807","[PB] ROMANCE A","Allen, Nancy Campbell,"
"i192034820","[PB] ROMANCE F","Fisher, Sharon Lynn,"
"i192034856","[PB] ROMANCE H","Howe, Jenny L.,"
"i192034881","[PB] ROMANCE R","Reid, Charish,"
"i192034911","[PB] ROMANCE L","Liese, Chloe,"
"i192034935","[PB] ROMANCE L","Lorret, Vivienne,"
"i192034959","[PB] ROMANCE D","Dunmore, Evie,"
"i192034984","[PB] ROMANCE G","Greer, Helena,"
"i192035009","[PB] ROMANCE F","Ferguson, Lana,"
"i192035022","[PB] ROMANCE L","Layne, Lauren,"
"i19203506x","[PB] ROMANCE H","Hawley, Sarah,"
"i192035071","[PB] ROMANCE A","Alexander, T.J.,"
"i192035113","[PB] ROMANCE H","Hill, Melissa,"
"i192035149","[PB] ROMANCE H","Hogle, Sarah,"
"i192035186","[PB] ROMANCE K","Keedwell, Kate,"
"i192035204","[PB] ROMANCE R","Robb, Kate,"
"i192035228","[PB] ROMANCE W","Williams, Denise,"
"i19203523x","[PB] ROMANCE Q","Quinn, Meghan,"
"i192035289","[PB] ROMANCE S","Segura, Jo,"
"i192035319","[PB] ROMANCE S","Sussman, Elissa,"
"i192035344","[PB] ROMANCE M","Mather, Adriana,"
"i19203537x","[PB] ROMANCE W","Wiesner, Melissa,"
"i192035393","[PB] ROMANCE L","Liese, Chloe,"
"i192035411","[PB] ROMANCE B","Bell, Lenora,"
"i192035447","[PB] ROMANCE G","Glass, Seressia,"
"i192035472","[PB] ROMANCE H","Howard, Amalie,"
"i192035502","[PB] ROMANCE H","Hazelwood, Ali,"
"i19203554x","[PB] ROMANCE P","Priest,"
"i192035563","[PB] ROMANCE B","Bree, J.,"
"i192035575","[PB] ROMANCE B","Bree, J.,"
"i192035605","[PB] ROMANCE S","Smith, T.L."
"i192035629","[PB] ROMANCE C","Castille, Sarah."
"i192035654","[PB] ROMANCE H","Hoang, Helen,"
"i192035666","[PB] ROMANCE C","Castille, Sarah,"
"i192292110","[PB] ROMANCE L","Lovise, Lindsay,"
"i192292134","[PB] ROMANCE S","Saunders, Jessica,"
"i192292158","[PB] ROMANCE D","Douglas, Penelope,"
"i192292171","[PB] ROMANCE K","Kellen, Alice,"
"i192292195","[PB] ROMANCE F","Freeman, Becca,"
"i192292213","[PB] ROMANCE G","Garbera, Katherine,"
"i192292225","[PB] ROMANCE H","Holiday, Jenny"
"i192292262","[PB] ROMANCE T","Tanamachi, Cara,"
"i192292316","[PB] ROMANCE W","Wei, Opal,"
"i192292341","[PB] ROMANCE L","Liese, Chloe,"
"i192292353","[PB] ROMANCE J","Janovsky, Timothy,"
"i192292390","[PB] ROMANCE Z","Zapata, Mariana,"
"i192292419","[PB] ROMANCE D","Dade, Olivia,"
"i192292444","[PB] ROMANCE D","Dade, Olivia,"
"i19229247x","[PB] ROMANCE J","Jeffries, Sabrina,"
"i192292493","[PB] ROMANCE W","Waters, Martha,"
"i192292511","[PB] ROMANCE L","Lee, Laura Piper,"
"i192292596","[PB] ROMANCE L","Lemming, Kimberly,"
"i192292614","[PB] ROMANCE S","Stein, Charlotte,"
"i192292638","[PB] ROMANCE S","Scott, Kylie,"
"i192292687","[PB] ROMANCE L","Lea, Amy,"
"i192292699","[PB] ROMANCE K","Kelley, Brittany,"
"i192292729","[PB] ROMANCE L","Liese, Chloe,"
"i192292742","[PB] ROMANCE B","Bonam-Young, Hannah,"
"i192292778","[PB] ROMANCE H","Hoover, Colleen,"
"i19229278x","[PB] ROMANCE J","Arden Joy"
"i192292808","[PB] ROMANCE V","Vale, Maria,"
"i192292857","[PB] ROMANCE M","MacArthur, Eliza,"
"i192292900","[PB] ROMANCE B","Bree, J.,"
"i192292936","[PB] ROMANCE P","Peckham, Caroline,"
"i192408422","[PB] ROMANCE P","Payne, Nikki,"
"i192408434","[PB] ROMANCE P","Payne, Nikki,"
"i192457007","[PB] ROMANCE H","Higgins, Chencia C.,"
"i192457019","[PB] ROMANCE D","Duke, Gloria,"
"i192882867","[PB] ROMANCE D","Dudley, Christina Hwang,"
"i192882892","[PB] ROMANCE D","Douglas, Penelope,"
"i192882909","[PB] ROMANCE E","Everett, Elizabeth,"
"i192882934","[PB] ROMANCE H","Harwood-Jones, Markus,"
"i192882946","[PB] ROMANCE S","Selene, Lyra,"
"i19288296x","[PB] ROMANCE K","Kent, Rina"
"i192882983","[PB] ROMANCE K","Kent, Rina"
"i192882995","[PB] ROMANCE K","Kent, Rina."
"i19288301x","[PB] ROMANCE K","Kent, Rina,"
"i192883045","[PB] ROMANCE K","Kent, Rina,"
"i192883136","[PB] ROMANCE C","Collins, Manda,"
"i192883161","[PB] ROMANCE C","Chu, Lily,"
"i192883203","[PB] ROMANCE C","Clayborn, Kate,"
"i192883227","[PB] ROMANCE R","Ryan, Kennedy,"
"i192883240","[PB] ROMANCE D","Dade, Olivia,"
"i192883276","[PB] ROMANCE L","Lemming, Kimberly,"
"i19288329x","[PB] ROMANCE B","Bailey, Tessa,"
"i192883318","[PB] ROMANCE C","Croucher, Lex,"
"i192883331","[PB] ROMANCE C","Carlino, Renée,"
"i192883367","[PB] ROMANCE B","Bailey, Tessa,"
"i192883409","[PB] ROMANCE A","Adams, Sarah,"
"i192883422","[PB] ROMANCE B","Bailey, Tessa,"
"i192883458","[PB] ROMANCE B","Ballard, Falon,"
"i192883471","[PB] ROMANCE B","Bailey, Tessa,"
"i192883495","[PB] ROMANCE P","Painter, Lynn,"
"i192883513","[PB] ROMANCE D","Dixon, Ruby,"
"i192883550","[PB] ROMANCE C","Croucher, Lex,"
"i192883562","[PB] ROMANCE C","Collins, Manda,"
"i192883586","[PB] ROMANCE S","Scotch, Allison Winn,"
"i192883604","[PB] ROMANCE S","St. Clair, Scarlett,"
"i192883628","[PB] ROMANCE A","Alexander, Neely Tubati,"
"i192883641","[PB] ROMANCE M","Marsh, Violet,"
"i192883653","[PB] ROMANCE M","Marr, Melissa,"
"i192883677","[PB] ROMANCE F","Feehan, Christine,"
"i192883707","[PB] ROMANCE R","Ruggle, Katie,"
"i192883720","[PB] ROMANCE A","Asher, April,"
"i192883756","[PB] ROMANCE L","Liese, Chloe,"
"i192883768","[PB] ROMANCE B","Bastone, Cara,"
"i192883811","[PB] ROMANCE S","St. John, Yahrah,"
"i192883835","[PB] ROMANCE B","Bailey, Tessa,"
"i192883859","[PB] ROMANCE D","Dutton, Jason B.,"
"i192883872","[PB] ROMANCE K","Kelly, Anita"
"i192883896","[PB] ROMANCE S","Silver, Elsie,"
"i192883914","[PB] ROMANCE H","Hameroff, Lindsay,"
"i192883963","[PB] ROMANCE B","Bond, Gwenda,"
"i192884025","[PB] ROMANCE S","Spalding, Amy,"
"i192884050","[PB] ROMANCE W","Wigginton, Diane Merrill,"
"i192884086","[PB] ROMANCE W","Wigginton, Diane Merrill,"
"i192884098","[PB] ROMANCE W","Wigginton, Diane Merrill,"
"i19288413x","[PB] ROMANCE R","RuNyx"
"i192884141","[PB] ROMANCE D","Douglas, Penelope,"
"i192884165","[PB] ROMANCE B","Birchall, Katy,"
"i192884219","[PB] ROMANCE R","RuNyx,"
"i192884232","[PB] ROMANCE P","Peckham, Caroline,"
"i192884256","[PB] ROMANCE P","Peckham, Caroline,"
"i192884293","[PB] ROMANCE P","Peckham, Caroline,"
"i192884323","[PB] ROMANCE B","Barrett, Ruby,"
"i192884359","[PB] ROMANCE M","MacLean, Sarah,"
"i192884396","[PB] ROMANCE S","Smith, Tiana,"
"i19288444x","[PB] ROMANCE H","Hazelwood, Ali,"
"i192884475","[PB] ROMANCE M","McQuiston, Casey,"
"i192884505","[PB] ROMANCE M","McQuiston, Casey,"
"i192884542","[PB] ROMANCE F","Forest, Kristina,"
"i192884554","[PB] ROMANCE K","Kennedy, Elle,"
"i193294023","[PB] ROMANCE J","Jordan, Sophie,"
"i193294047","[PB] ROMANCE S","Solomon, Rachel Lynn,"
"i193294059","[PB] ROMANCE K","Kitt, Sandra,"
"i193294084","[PB] ROMANCE G","Gilmore, Lucy"
"i193294096","[PB] ROMANCE L","Lepe, Jessica,"
"i193294114","[PB] ROMANCE S","Siegel, Natasha,"
"i193294126","[PB] ROMANCE M","MacLean, Sarah,"
"i193294138","[PB] ROMANCE M","McAvoy, J.J.,"
"i19329414x","[PB] ROMANCE K","Khawaja, Alina,"
"i193294151","[PB] ROMANCE C","Collins, Manda,"
"i193294163","[PB] ROMANCE S","Shade, Anne"
"i193294205","[PB] ROMANCE K","Kennedy, Elle,"
"i193294217","[PB] ROMANCE A","Ariel, Myah,"
"i193294229","[PB] ROMANCE B","Bonam-Young, Hannah,"
"i193294230","[PB] ROMANCE H","Holton, India,"
"i193294254","[PB] ROMANCE J","Jayne, Stephanie,"
"i193294266","[PB] ROMANCE H","Hoffman, KT,"
"i193294278","[PB] ROMANCE J","Jimenez, Abby,"
"i193294291","[PB] ROMANCE P","Park, Suzanne,"
"i193294333","[PB] ROMANCE E","Eddings, Mazey,"
"i193294345","[PB] ROMANCE K","Kennedy, Elle,"
"i193294369","[PB] ROMANCE L","Lauren, Christina,"
"i193294370","[PB] ROMANCE G","Grossman, Felicia,"
"i193294394","[PB] ROMANCE P","Peckham, Caroline,"
"i193294400","[PB] ROMANCE K","Kent, Rina,"
"i193294412","[PB] ROMANCE K","Kent, Rina,"
"i19329445x","[PB] ROMANCE P","Paige, Alexandra"
"i193294473","[PB] ROMANCE P","Painter, Lynn,"
"i193294485","[PB] ROMANCE P","Painter, Lynn,"
"i193294539","[PB] ROMANCE H","Hall, Alexis J.,"
"i193294576","[PB] ROMANCE H","Henry, Emily,"
"i19329459x","[PB] ROMANCE J","Jimenez, Abby,"
"i193294618","[PB] ROMANCE K","Kuang, Yulin,"
"i193294643","[PB] ROMANCE H","Hogle, Sarah,"
"i193294667","[PB] ROMANCE E","Easton, Etta,"
"i193294680","[PB] ROMANCE K","Kiley, Alexandra,"
"i193294746","[PB] ROMANCE S","Salvatore, Steven,"
"i19329476x","[PB] ROMANCE Z","Zetterberg, Ally,"
"i193294825","[PB] ROMANCE L","Lacey, Rachel,"
"i193294849","[PB] ROMANCE C","Comfort, Jen,"
"i193294862","[PB] ROMANCE E","Edwards, Melodie,"
"i193294904","[PB] ROMANCE S","Silver, Elsie,"
"i193294928","[PB] ROMANCE L","Liese, Chloe,"
"i193294953","[PB] ROMANCE L","Leigh, Lora,"
"i193294977","[PB] ROMANCE D","Delacour, Faye,"
"i193294989","[PB] ROMANCE L","Long, Julie Anne"
"i193295003","[PB] ROMANCE D","De Guzman, Carla,"
"i193295027","[PB] ROMANCE D","Douglas, Penelope,"
"i193295040","[PB] ROMANCE C","Cochrun, Alison,"
"i193295064","[PB] ROMANCE A","Adams, Sarah,"
"i19329509x","[PB] ROMANCE S","Sage, Lyla,"
"i193688906","[PB] ROMANCE D","Douglas, Penelope,"
"i193688918","[PB] ROMANCE L","Lau, Jackie,"
"i193688931","[PB] ROMANCE B","Bilow, Rochelle,"
"i193688943","[PB] ROMANCE A","Adler, Sarah,"
"i193688967","[PB] ROMANCE S","Sebastian, Cat,"
"i193688979","[PB] ROMANCE C","Cayouette, Betty,"
"i193689005","[PB] ROMANCE L","Lee-Kennedy, Brydie,"
"i193689017","[PB] ROMANCE C","Chu, Lily,"
"i193689054","[PB] ROMANCE L","London, Siera,"
"i193689066","[PB] ROMANCE S","Singh, Nalini,"
"i19368911x","[PB] ROMANCE B","Buck, Adele,"
"i193689145","[PB] ROMANCE G","Gagnon, Jilly,"
"i193689157","[PB] ROMANCE S","St. George, Harper,"
"i193689169","[PB] ROMANCE H","Holiday, Jenny"
"i193689194","[PB] ROMANCE M","McCoy, Taj,"
"i193689236","[PB] ROMANCE B","Bellefleur, Alexandria,"
"i19368925x","[PB] ROMANCE H","Huang, Ana,"
"i193689261","[PB] ROMANCE C","Cunningham, A.H.,"
"i193951071","[PB] ROMANCE C","Corrello, Betty,"
"i193951095","[PB] ROMANCE A","Ahearn, M.K.,"
"i193951101","[PB] ROMANCE B","Breger, Samara,"
"i193951113","[PB] ROMANCE R","Robert, Katee,"
"i193951125","[PB] ROMANCE K","Kann, Claire,"
"i193951137","[PB] ROMANCE M","Murray, Amita,"
"i193951150","[PB] ROMANCE T","Toon, Paige,"
"i193951174","[PB] ROMANCE K","Kennedy, Elle,"
"i193951198","[PB] ROMANCE M","McKinlay, Jenn,"
"i193951228","[PB] ROMANCE T","Tamberelli, Kate,"
"i193951241","[PB] ROMANCE M","Micciche, K.J.,"
"i193951253","[PB] ROMANCE R","Riley, Vanessa,"
"i193951277","[PB] ROMANCE D","DeWitt, Tarah,"
"i194313268","[PB] ROMANCE M","Monaghan, Annabel,"
"i19431330x","[PB] ROMANCE G","Greenwald, Carlyn,"
"i194313323","[PB] ROMANCE M","Marvel, Mae,"
"i194313347","[PB] ROMANCE H","Hazelwood, Ali,"
"i194313384","[PB] ROMANCE H","Hazelwood, Ali,"
"i194313451","[PB] ROMANCE H","Higgins, Chencia C.,"
"i194313475","[PB] ROMANCE A","Alexander, T.J.,"
"i194313517","[PB] ROMANCE R","Rochon, Farrah,"
"i194313529","[PB] ROMANCE H","Hamilton, Emily,"
"i19431358x","[PB] ROMANCE D","Dixon, Ruby,"
"i194313591","[PB] ROMANCE N","Neilson, Riss M.,"
"i194313633","[PB] ROMANCE D","Dumond, Susie,"
"i194313670","[PB] ROMANCE A","Allen, Danielle,"
"i194313682","[PB] ROMANCE D","Dubb, Sarah T.,"
"i194313700","[PB] ROMANCE D","De la Rosa, Liana,"
"i194313712","[PB] ROMANCE E","Everlee, Jess,"
"i194313797","[PB] ROMANCE Y","Young, Kate"
"i194313803","[PB] ROMANCE D","Dugan, Jennifer,"
"i194313852","[PB] ROMANCE S","Stetz-Waters, Karelia,"
"i194313888","[PB] ROMANCE W","Weaver, Brynne,"
"i194313931","[PB] ROMANCE B","Bonam-Young, Hannah,"
"i194362954","[PB] ROMANCE P","Poston, Ashley,"
"i19436298x","[PB] ROMANCE L","Lauren, Christina,"
"i194883152","[PB] ROMANCE M","McQuiston, Casey,"
"i194883176","[PB] ROMANCE M","McQuiston, Casey,"
"i194883206","[PB] ROMANCE S","Sullivan, Sophie,"
"i19488322x","[PB] ROMANCE M","Mazarura, Rufaro Faith,"
"i194883255","[PB] ROMANCE Y","Yardley, Cathy,"
"i194883267","[PB] ROMANCE Z","Zanetti, Rebecca,"
"i194883280","[PB] ROMANCE Q","Quinn, Julia,"
"i194883309","[PB] ROMANCE V","Vasti, Alexandra,"
"i194883310","[PB] ROMANCE B","Bailey, Tessa,"
"i194883334","[PB] ROMANCE B","Bannen, Megan,"
"i194883358","[PB] ROMANCE J","Janovsky, Timothy,"
"i19488336x","[PB] ROMANCE H","Hawley, Sarah,"
"i194883371","[PB] ROMANCE H","Hegde, Swati,"
"i194883383","[PB] ROMANCE Y","Yardley, Cathy,"
"i194883401","[PB] ROMANCE Q","Quinn, Meghan,"
"i194883425","[PB] ROMANCE R","Rivera, K Arsenault,"
"i194883437","[PB] ROMANCE J","James, Holly"
"i194883449","[PB] ROMANCE V","Voskuni, Taleen,"
"i194883474","[PB] ROMANCE L","Lee, Karmen,"
"i194883528","[PB] ROMANCE N","Nava, Danica,"
"i19488353x","[PB] ROMANCE K","Kate, Lauren,"
"i194883541","[PB] ROMANCE P","Patel, Sajni,"
"i194883553","[PB] ROMANCE E","Ellis, Philip"
"i194883565","[PB] ROMANCE E","Everhart, Elle,"
"i194883577","[PB] ROMANCE P","Peckham, Scarlett,"
"i194883590","[PB] ROMANCE J","James, Eloisa,"
"i194883607","[PB] ROMANCE B","Bennett, Mae"
"i194883619","[PB] ROMANCE S","Sweeney, Melanie,"
"i194883644","[PB] ROMANCE S","Soltani, Simone,"
"i19488367x","[PB] ROMANCE H","Harper, Lana,"
"i194883693","[PB] ROMANCE S","Sheridan, Mia,"
"i19488370x","[PB] ROMANCE S","Soto, Julie,"
"i194883711","[PB] ROMANCE L","Lee, Jayci,"
"i194883723","[PB] ROMANCE W","Wood, Laura"
"i194883747","[PB] ROMANCE M","McAlister, Jodi,"
"i194883759","[PB] ROMANCE R","Ripper, Kris,"
"i194883760","[PB] ROMANCE K","Kirwan, Nou,́"
"i194883772","[PB] ROMANCE L","Lowell, Joanna,"
"i194883796","[PB] ROMANCE R","Reid, Charish,"
"i194883802","[PB] ROMANCE A","Armas, Elena,"
"i194883863","[PB] ROMANCE B","Bellezza, Audrey,"
"i194883875","[PB] ROMANCE H","Huang, Ana,"
"i194883887","[PB] ROMANCE G","Gamez, Gabriella,"
"i194883905","[PB] ROMANCE A","Armstrong, Kelley,"
"i194883930","[PB] ROMANCE L","Layne, Lauren,"
"i194883942","[PB] ROMANCE H","Heron, Farah,"
"i194883978","[PB] ROMANCE B","Borison, B.K.,"
"i194883991","[PB] ROMANCE H","Hankin, Laura,"
"i194884053","[PB] ROMANCE K","Kenney, Rebecca,"
"i194884077","[PB] ROMANCE R","Ryan, Kennedy,"
"i194884119","[PB] ROMANCE B","Blumberg, Chandra"
"i194884120","[PB] ROMANCE R","Rocha, Kit,"
"i194884144","[PB] ROMANCE R","Robert, Katee,"
"i194884168","[PB] ROMANCE F","Ferguson, Lana,"
"i194884181","[PB] ROMANCE G","Greenwood, Kirsty,"
"i194884193","[PB] ROMANCE M","Mejia, Tehlor Kay,"
"i194884223","[PB] ROMANCE T","Thompson, Alicia,"
"i194884260","[PB] ROMANCE D","DeLuca, Jen,"
"i194884296","[PB] ROMANCE K","Kay, Laura,"
"i194884326","[PB] ROMANCE L","Lord, Emma,"
"i194959685","[PB] ROMANCE D","Desai, Sara,"
"i194959703","[PB] ROMANCE M","Marlowe, Mallory,"
"i195257820","[PB] ROMANCE M","Myles, Jenna,"
"i195257844","[PB] ROMANCE C","Cotugno, Katie,"
"i195257856","[PB] ROMANCE S","Sharma, Nisha,"
"i19525787x","[PB] ROMANCE J","Joyce, Jessica,"
"i195257881","[PB] ROMANCE H","Hall, Alexis J.,"
"i195257911","[PB] ROMANCE L","Lark, Sophie,"
"i195257923","[PB] ROMANCE K","Khorram, Adib,"
"i195257959","[PB] ROMANCE C","Carlton, H.D.,"
"i195257960","[PB] ROMANCE M","McFarlane, Mhairi,"
"i195257972","[PB] ROMANCE P","Palit, Aurora,"
"i195258009","[PB] ROMANCE R","Runya Katz, Rachel,"
"i195258010","[PB] ROMANCE O","Obuobi, Shirlene,"
"i195258034","[PB] ROMANCE M","Meltzer, Jean,"
"i19525806x","[PB] ROMANCE F","Fairbanks, Ivy,"
"i195258071","[PB] ROMANCE M","Moher, Laura,"
"i195258095","[PB] ROMANCE A","Alban, Emma R.,"
"i195258113","[PB] ROMANCE M","Myles, Jenna,"
